Name,Revenue $ million,Revenue % change,Profits $ million,Profit % change,Assets $ million,Market value (03-2020) $M,Number of employees
Urban Outfitters,"$3,983.8",0.8%,$168.1,-43.6%,"$3,315.6","$1,392.3","16,800"
Aaron's,"$3,947.7",3.1%,$31.5,-84%,"$3,297.8","$1,520.4","12,100"
Carvana,"$3,939.9",101.5%,$-114.7,-,"$2,057.7","$8,480","7,324"
Sally Beauty Holdings,"$3,876.4",-1.4%,$271.6,5.3%,"$2,098.4",$943.6,"30,050"
Abercrombie & Fitch,"$3,623.1",0.9%,$39.4,-47.2%,"$3,549.7",$559.9,"26,000"
Barnes & Noble,"$3,552.7",-3%,$3.8,-,"$1,705.6",-,"15,538"
Designer Brands,"$3,492.7",9.7%,$94.5,-,"$2,465.1",$357.3,"16,100"
PriceSmart,"$3,223.9",1.8%,$73.2,-1.5%,"$1,296.4","$1,608.7","9,000"
Tailored Brands,"$2,998.7",-7.4%,$-82.3,-198.8%,"$2,419",$84.3,"16,500"
Caleres,"$2,921.6",3.1%,$62.8,-,"$2,431.7",$208.2,"11,400"
Guess,"$2,678.1",2.6%,$96,580.7%,"$2,429",$444.4,"15,800"
Rent-A-Center,"$2,669.9",0.4%,$173.5,1943.6%,"$1,582.8",$781,"14,500"
RH,"$2,647.4",5.7%,$220.4,46.3%,"$2,445.7","$1,932.9","4,750"
J.Crew Group,"$2,540.1",2.3%,$-78.8,-,"$1,599.3",-,"9,400"
Party City Holdco,"$2,348.8",-3.2%,$-532.5,-532%,"$3,595.3",$43.3,"14,350"
Genesco,"$2,197.1",-24.5%,$61.4,-,"$1,680.5",$196.1,"13,850"
Floor & Decor Holdings,"$2,045.5",19.6%,$150.6,29.6%,"$2,324.3","$3,282.4","6,336"
Copart,"$2,042",13.1%,$591.7,41.6%,"$2,547.6","$16,013.5","7,327"
Chico's FAS,"$2,037.9",-4.4%,$-12.8,-135.8%,"$1,542.7",$155.2,"10,944"
Barnes & Noble Education,"$2,034.6",-7.7%,$-24.4,-,$946.2,$65.7,"12,400"
Express,"$2,019.2",-4.6%,$-164.4,-1806.7%,"$1,790.7",$95.2,"9,160"
